                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1637,                 3.9059,                 4.3997,                  0.003,                   0.88,                0.01058,                0.00286,                 2.8887,                 4.0088,                 4.1583,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.1971,                 3.9143,                 4.4439,                0.00288,                   0.84,                0.02112,                0.00492,                 2.8883,                 4.0076,                 4.1574,             0.00013723,             0.00013723,             0.00013723
                      3,                 2.8931,                 3.6161,                 4.2854,                0.00303,                   0.88,                0.01779,                0.00427,                  2.887,                 4.0024,                  4.156,             0.00021129,             0.00021129,             0.00021129
                      4,                 3.0518,                 3.5925,                 4.2321,                0.00298,                   0.86,                0.01275,                0.00325,                 2.8837,                 3.9979,                 4.1543,             0.00028218,             0.00028218,             0.00028218
